"","point_estimate_rub","LB_rub","UB_rub","UB","LB","point_estimate"
"6269",1.59566769959622,0.722807462046016,2.46852793714642,2.48916600146104,1.86299914059351,2.18132291373236
"6270",1.14130343483465,-0.306963349145464,2.58957021881476,2.20906460964264,1.43988580613863,1.87274967611483
"6271",0.939189520876997,-0.473660460173215,2.35203950192721,2.07450987940277,0.822304873279094,1.46899989460083
"6272",0.657411810218841,-1.15270999436515,2.46753361480283,1.67130285299371,0.171051117745427,0.967624686666751
"6273",2.0370757164649,1.23518595076263,2.83896548216718,2.25245770787368,1.39153252668901,1.88518993336219
"6274",2.36056861701777,1.27501712103298,3.44612011300256,2.75721392089334,1.70172492809075,2.18909632354896
"6275",1.33256874224693,-0.142757854689886,2.80789533918375,2.30573173213509,1.09135226558364,1.70018823158866
"6276",1.44196484298706,-0.226864141047103,3.11079382702123,2.82623667085407,1.04952638632051,1.86915705891832
"6277",2.27497425132704,1.07200396108129,3.47794454157279,3.04350031436423,2.27983316800262,2.62249991922605
"6278",2.25968585210246,1.29567475354501,3.2236969506599,2.93137573492661,1.64371429723649,2.26723157650245
"6279",1.37692046643189,-0.0024756203522307,2.75631655321601,2.39754218756694,1.16221032541338,1.84202727568484
"6280",1.91603008411104,0.347467915240665,3.48459225298142,2.89688354795404,1.6103157288647,2.26851720404617
"6281",1.5737919759395,0.30322198739607,2.84436196448293,2.74263781574566,1.13189811534622,1.97397508326296
"6282",2.71972536351683,1.35193113122281,4.08751959581085,3.45721121080066,2.09341671003109,2.61752753703116
"6283",2.16208877412932,0.912714271393592,3.41146327686505,2.66431507012197,1.84690694653589,2.19414872277596
"6284",2.05788768278794,0.912743868977312,3.20303149659856,2.80123647796189,1.4268812587623,2.08011025086119
"6285",1.98951074735069,1.08906752555799,2.8899539691434,2.43356286882647,0.942178339954987,1.77983134755652
"6286",1.83156873913839,0.869841757116849,2.79329572115993,2.40355083270454,1.86756514435012,2.13690544295405
"6287",2.31066877674802,1.07014206508466,3.55119548841139,3.27117607639342,1.93094654171335,2.53172960327406
"6288",1.20810592760099,-0.282193587626095,2.69840544282808,2.1304832739767,0.920314246271952,1.56088875015013
"6289",1.77322303840445,0.876248611518116,2.67019746529078,2.27402955425699,1.62652790187838,1.95221131232287
"6290",1.75191553674094,0.819849291004251,2.68398178247763,2.65490799312933,1.57880079455864,2.08536943298502
"6291",1.46495668579488,-0.922224636178341,3.8521380077681,2.68620224977958,0.799035333346299,1.83635460784217
"6292",1.39122868943828,-0.419552586776626,3.20200996565319,2.76234314799705,0.473952353663229,1.7110541403148
"6293",1.3395297408836,0.410668733820828,2.26839074794636,2.20611290824026,1.48680868578014,1.84069077862338
"6294",2.17841264518936,1.13828402340842,3.21854126697031,2.73247664865941,1.59397943446806,2.1563018451014
"6295",1.95134231383167,1.00438959481793,2.8982950328454,2.58060926169791,1.63075106899866,2.13198712177917
"6296",1.47898366687136,0.502191128963796,2.45577620477892,2.07477693454087,1.14636385450476,1.56867266839865
